Plasmids	locus_tag(Term)	protein_id(Term)	E-value_1(Term)	E-value_2(Term)	locus_tag(TMP)	protein_id(TMP)	E-value_1(TMP)	E-value_2(TMP)	locus_tag(MCP)	protein_id(MCP)	E-value_1(MCP)	E-value_2(MCP)	locus_tag(ParA)	protein_id(ParA)	E-value_1(ParA)	E-value_2(ParA)	locus_tag(ParM)	protein_id(ParM)	E-value_1(ParM)	E-value_2(ParM)	locus_tag(XerC)	protein_id(XerC)	E-value_1(XerC)	E-value_2(XerC)
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009967.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00105	WP_000358766.1	1.2e-09	1.4e-09
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	1.5e-16	2.1e-16	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	4.4e-35	5.6e-35	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	3.4e-17	3.6e-08	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00205	WP_000668450.1	1.1e-19	3.8e-18	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00250	WP_001097384.1	1.1e-11	1.9e-11	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	1.3e-17	1.7e-17	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	1.7e-39	2e-39	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	3.7e-13	4.3e-13	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	3.3e-11	4.6e-11	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	0.00048	0.00093	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	7.7e-16	2.4e-15	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	3.7e-18	4.8e-18	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00030	WP_000198084.1	1.2e-09	2.1e-05	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	BF28_RS00205	WP_000668450.1	3.2e-10	2.3e-08	-	-	-	-	-	-	-	-
NZ_CP009966.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009965.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	8.9e-18	1.9e-17	-	-	-	-	BF35_RS00065	WP_000594390.1	1.1e-09	1.4e-09
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	3.5e-35	4.5e-35	-	-	-	-	BF35_RS00045	WP_000533592.1	8.5e-07	2.2e-06
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	1.7e-17	1.5e-09	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	2.5e-19	3.7e-19	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	1.6e-36	2e-36	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	1.7e-13	2.6e-13	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	6.2e-16	7.5e-16	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	1.1e-06	2.3e-06	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	4.6e-20	3.6e-19	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	8.1e-19	1.6e-18	-	-	-	-	-	-	-	-
NZ_CP009627.1	-	-	-	-	-	-	-	-	-	-	-	-	BF35_RS00075	WP_001018648.1	7.6e-08	1.9e-06	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	AS54_RS00325	WP_000442126.1	6.7e-05	0.0036	-	-	-	-	AS54_RS00695	WP_000070480.1	7.1e-40	4.6e-38
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	AS54_RS00325	WP_000442126.1	7.5e-08	1.4e-07	-	-	-	-	AS54_RS00770	WP_001021546.1	6e-33	7.8e-33
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	AS54_RS00325	WP_000442126.1	0.00058	0.0041	-	-	-	-	AS54_RS00510	WP_001006037.1	4.1e-18	7.9e-18
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	AS54_RS00150	WP_012680378.1	0.00043	0.00057	-	-	-	-	AS54_RS00325	WP_000442126.1	1.7e-06	7.9e-06	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	AS54_RS00325	WP_000442126.1	1.3e-07	3.1e-07	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	AS54_RS00210	WP_000081380.1	4.2e-06	4.2e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009317.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS00835	WP_050412755.1	1.1e-05	2.6e-05	-	-	-	-	NT98_RS01145	WP_001971857.1	5.1e-25	7.9e-25
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS00835	WP_050412755.1	1.4e-14	2e-14	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS00835	WP_050412755.1	3.8e-12	8.4e-07	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	NT98_RS01080	WP_001971463.1	4.3e-07	6.2e-07	-	-	-	-	NT98_RS01130	WP_001971434.1	4.7e-15	1.7e-07	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS01005	WP_001971511.1	1.7e-10	0.00059	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS00835	WP_050412755.1	4.1e-05	7.6e-05	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS00835	WP_050412755.1	8.9e-14	1.2e-13	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	NT98_RS00555	WP_001971718.1	2.3e-09	2.3e-09	-	-	-	-	NT98_RS00835	WP_050412755.1	3.3e-05	0.00096	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	NT98_RS00555	WP_001971718.1	6.9e-13	6.9e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS00835	WP_050412755.1	7.1e-10	4.8e-09	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS00835	WP_050412755.1	4.1e-11	6.1e-11	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS01130	WP_001971434.1	5e-08	0.004	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	NT98_RS01005	WP_001971511.1	0.00027	0.51	-	-	-	-	-	-	-	-
NZ_CP009940.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	7.6e-132	8.6e-132	NT98_RS00270	WP_038415774.1	2.3e-49	6.2e-40	NT98_RS00320	WP_001980909.1	3.2e-119	3.6e-119	NT98_RS00205	WP_002194835.1	3.3e-18	3.3e-18	-	-	-	-	NT98_RS00005	WP_001981282.1	9.3e-09	1.1e-08
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	4.5e-14	4.5e-14	NT98_RS00270	WP_038415774.1	1.1e-09	2.8e-08	NT98_RS00320	WP_001980909.1	9.2e-06	1.2e-05	NT98_RS00205	WP_002194835.1	3.7e-35	4.6e-35	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	1.3e-09	4.6e-09	NT98_RS00270	WP_038415774.1	4.8e-27	3.2e-14	-	-	-	-	NT98_RS00205	WP_002194835.1	1.5e-17	1.2e-09	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	0.00023	0.053	NT98_RS00270	WP_038415774.1	1.8e-21	2e-20	-	-	-	-	NT98_RS00205	WP_002194835.1	9.1e-19	1.9e-18	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	8.6e-11	8.6e-11	-	-	-	-	NT98_RS00205	WP_002194835.1	3.7e-36	4.8e-36	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	9.3e-18	1.3e-17	NT98_RS00270	WP_038415774.1	3e-16	1.3e-09	-	-	-	-	NT98_RS00205	WP_002194835.1	5.5e-13	8e-13	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	7.2e-10	7.2e-10	-	-	-	-	NT98_RS00205	WP_002194835.1	7.8e-15	9.5e-15	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00270	WP_038415774.1	1.9e-09	0.00015	NT98_RS00270	WP_038415774.1	7.4e-17	7.4e-17	-	-	-	-	NT98_RS00205	WP_002194835.1	1.6e-05	4.1e-05	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	4.1e-24	3.1e-23	NT98_RS00270	WP_038415774.1	2e-51	2.1e-32	-	-	-	-	NT98_RS00205	WP_002194835.1	3.2e-20	4.1e-19	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	3.4e-18	4.9e-18	NT98_RS00270	WP_038415774.1	5.6e-17	2e-12	-	-	-	-	NT98_RS00205	WP_002194835.1	4.4e-19	7.4e-19	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00270	WP_038415774.1	4.5e-26	3e-13	-	-	-	-	-	-	-	-	NT98_RS00205	WP_002194835.1	1.2e-07	2.3e-06	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	2.1e-07	6e-07	NT98_RS00270	WP_038415774.1	1.8e-35	1.3e-24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	1.9e-16	4.6e-15	NT98_RS00270	WP_038415774.1	3.5e-14	3.6e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	4.3e-08	6e-08	NT98_RS00270	WP_038415774.1	1e-64	1.5e-26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	1.1e-11	3.5e-11	NT98_RS00270	WP_038415774.1	4.3e-09	4.3e-09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	2.2e-19	2.2e-19	NT98_RS00270	WP_038415774.1	2.2e-05	0.0036	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00270	WP_038415774.1	8.6e-30	1.1e-17	NT98_RS00270	WP_038415774.1	5e-08	4.7e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00360	WP_001981248.1	4.9e-28	1.1e-27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	1e-120	1.2e-120	NT98_RS00270	WP_038415774.1	2.1e-31	1.6e-23	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	0.00073	0.0013	NT98_RS00270	WP_038415774.1	1.3e-48	8.2e-36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	NT98_RS00355	WP_001981247.1	4.1e-05	0.00093	NT98_RS00270	WP_038415774.1	9.4e-46	1e-34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	5.5e-27	1.6e-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.2e-24	1e-16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.3e-07	0.00024	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	1.2e-19	2.9e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	1.1e-82	1.2e-51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	9e-15	2.6e-07	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	9.5e-14	6.6e-11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	4e-06	4e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	1.9e-19	3.7e-18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	5.1e-09	4.6e-08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.8e-42	1.4e-30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	4e-18	4e-18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	7.2e-29	3.9e-22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.2e-54	3.1e-25	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.6e-121	1.8e-77	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	4.3e-05	4.3e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.4e-103	4.6e-78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	5.3e-69	3.9e-43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	6.1e-12	6.1e-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.2e-24	3.5e-24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	2.4e-53	6e-38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	3.8e-27	8.7e-26	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP009939.1	-	-	-	-	NT98_RS00270	WP_038415774.1	1.5e-40	2e-24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027927.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027926.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027925.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027924.1	-	-	-	-	C1N82_RS32500	WP_162283611.1	6.2e-09	9.4e-09	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS32405	WP_012552771.1	6.3e-39	7.7e-39
NZ_CP027924.1	-	-	-	-	C1N82_RS32500	WP_162283611.1	7.6e-13	9.7e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027924.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027924.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS30455	WP_162283552.1	4.2e-05	0.0024	-	-	-	-	C1N82_RS30865	WP_162281135.1	3.9e-39	5.9e-38
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS30455	WP_162283552.1	2.7e-09	5.5e-09	-	-	-	-	C1N82_RS31685	WP_162281135.1	3.9e-39	5.9e-38
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS30455	WP_162283552.1	0.0003	0.0035	-	-	-	-	C1N82_RS31635	WP_162281128.1	4e-31	5.2e-31
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS31465	-	3.8e-13	5.5e-13	-	-	-	-	C1N82_RS30815	WP_162283592.1	5.2e-31	6.8e-31
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS30900	WP_162281150.1	2.2e-26	7.3e-25
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS30455	WP_162283552.1	9.8e-07	3e-06	-	-	-	-	C1N82_RS30775	WP_162279834.1	2.8e-26	6.3e-25
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS31295	WP_162281072.1	6.6e-18	1.3e-17
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS30215	WP_162283521.1	1.4e-16	5.1e-16
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS30455	WP_162283552.1	1.5e-07	3.4e-07	-	-	-	-	C1N82_RS30780	WP_162279835.1	1.7e-16	4.5e-16
NZ_CP027921.1	-	-	-	-	C1N82_RS30570	WP_162283561.1	2.8e-05	2.8e-05	-	-	-	-	C1N82_RS31465	-	0.00021	0.037	-	-	-	-	C1N82_RS30895	WP_162281147.1	8e-16	1.8e-15
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_RS31560	WP_162281108.1	1.1e-09	1.3e-09
NZ_CP027921.1	C1N82_RS30790	WP_162279837.1	0.00086	0.0012	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP027921.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP028017.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP028016.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP028011.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_RS30500	-	3.8e-13	5.5e-13	-	-	-	-	C1N66_RS30720	WP_162281135.1	3.9e-39	5.9e-38
NZ_CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_RS30500	-	0.00021	0.037	-	-	-	-	C1N66_RS30670	WP_162281128.1	4e-31	5.2e-31
NZ_CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_RS30755	WP_162281150.1	2.2e-26	7.3e-25
NZ_CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_RS30330	WP_162281072.1	6.6e-18	1.3e-17
NZ_CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_RS30750	WP_162281147.1	8e-16	1.8e-15
NZ_CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_RS30595	WP_162281108.1	1.1e-09	1.3e-09
CP028017.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP028016.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP028011.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_31205	-	3.8e-13	5.5e-13	-	-	-	-	C1N66_31450	QHV47520.1	3.9e-39	5.9e-38
CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_31205	-	0.00021	0.037	-	-	-	-	C1N66_31390	QHV47510.1	4e-31	5.2e-31
CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_31485	QHV47527.1	2.2e-26	7.3e-25
CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_31025	QHV47452.1	6.6e-18	1.3e-17
CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_31480	QHV47526.1	8e-16	1.8e-15
CP028010.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	C1N66_31305	QHV47496.1	1.1e-09	1.3e-09
CP027927.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP027926.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP027925.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP027924.1	-	-	-	-	C1N82_34135	QHV08233.1	6.2e-09	9.4e-09	-	-	-	-	-	-	-	-	-	-	-	-	C1N82_34045	QHV08216.1	4.4e-39	5.8e-39
CP027924.1	-	-	-	-	C1N82_34135	QHV08233.1	7.6e-13	9.7e-13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP027924.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CP027924.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NZ_PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	CR195_RS27920	WP_048530124.1	0.00011	0.0047	-	-	-	-	CR195_RS27810	-	1e-06	1.2e-06
NZ_PHQW02000016.1	-	-	-	-	-	-	-	-	-	-	-	-	CR195_RS27920	WP_048530124.1	1.2e-08	2.6e-08	-	-	-	-	-	-	-	-
